plant_name,plant_code,latitude,longitude,ac_capacity,dc_capacity,dc_loss_factor,temperature_coefficient,tracking,tracking_type,fixed_tilt,fixed_azimuth,axis_tilt,axis_azimuth,backtrack,max_rotation_angle,ground_coverage_ratio,Crystalline Silicon?,Thin-Film (CdTe)?,Operating_Month,Operating_Year
Arnold Cochran,64569,32.399366,-83.343779,1.7,2.3,0.15,-0.35,Y,single_axis, ,55,0,180,True,60,0.35,Y,,4,2020
Seminole,60514,31.065112,-84.931702,1.6,2,0.15,-0.35,Y,single_axis,30,180,0,180,True,60,0.35,Y,,10,2014
Georgia Power at Jakin GA PV,61397,31.138,-85.031,1.5,1.8,0.15,-0.35,Y,single_axis, ,180,0,180,True,60,0.35,Y,,12,2017
Muscogee Public Works,62881,32.49375,-84.861326,1.5,2.1,0.15,-0.35,Y,single_axis,10,180,0,180,True,60,0.35,Y,,1,2019
Solar BESS Hybrid,63535,33.979348,-84.556128,1.5,1.8,0.15,-0.35,,fixed, , ,NaN,NaN,NaN,NaN,0.5,Y,,10,2020
Lowndes IDA,64278,30.835452,-83.227515,1.5,2,0.15,-0.35,Y,single_axis,55,180,0,180,True,60,0.35,Y,,4,2020
Troup RC50 II,64284,32.898784,-84.896165,1.5,2,0.15,-0.35,Y,single_axis,55,180,0,180,True,60,0.35,Y,,4,2020
Denver Braswell PV,61441,31.3,-83.8,1.4,2,0.15,-0.35,N,fixed,25,180,NaN,NaN,NaN,NaN,0.5,Y,,8,2017
Columbia Bryson,62879,33.429859,-82.196002,1.4,1.8,0.15,-0.35,Y,single_axis,10,180,0,180,True,60,0.35,Y,,12,2018
Oil Dri 2 Solar,62882,30.991,-84.066,1.4,1.9,0.15,-0.35,Y,single_axis,10,180,0,180,True,60,0.35,Y,,5,2019
Freeman Avenue,62887,32.182026,-84.14762,1.4,1.8,0.15,-0.35,Y,single_axis,10,180,0,180,True,60,0.35,Y,,11,2019
IKEA Savannah 490,58011,32.177535,-81.173775,1.2,1.5,0.15,-0.35,,fixed,12,180,NaN,NaN,NaN,NaN,0.5,Y,,9,2012
